Keys;English (United States);Russian;Chinese (Simplified);Spanish (Spain);German (Germany);French;Japan;Korean;Название английское;Что это
AimFov;Field of capture;Поле захвата;捕获范围;Campo de captura;Erfassungsbereich;Champ de capture;捕捉範囲;캡처 범위;;
AimFovTooltip;Defines the area where the module can acquire targets;Определяет область, в которой модуль может захватывать цели;定义模块可捕获目标的区域;Define el área donde el módulo puede adquirir objetivos;Definiert den Bereich, in dem das Modul Ziele erfassen kann;Définit la zone où le module peut acquérir des cibles;モジュールがターゲットを取得できる範囲;모듈이 목표를 포착할 수 있는 영역을 정의;;
AimMode;Aim:;Прицел:;瞄准:;Mira:;Ziel:;Visee :;エイム:;조준:;;
AimModeMask;Target zones;Зоны цели;目标区域;Zonas de objetivo;Zielzonen;Zones de cible;ターゲット部位;목표 부위;;
AimModeMaskTooltip;Select which body zones can be targeted;Выберите зоны тела, по которым разрешён захват;选择可瞄准的身体部位;Selecciona qué zonas del cuerpo pueden ser objetivo;Wähle, welche Körperzonen anvisiert werden können;Sélectionne les zones du corps ciblables;狙う部位を選択;타겟팅할 신체 부위를 선택;;
AutoSaveConfig;Auto-save weapon settings;Автосохранение настроек оружия;自动保存武器设置;Guardado automático por arma;Automatisches Speichern pro Waffe;Sauvegarde automatique par arme;武器ごとに自動保存;무기별 자동 저장;;
AutoSaveConfigTooltip;Automatically saves current settings for each weapon;Автоматически сохраняет текущие настройки для каждого оружия;自动保存每种武器的当前设置;Guarda automáticamente la configuración actual para cada arma;Speichert aktuelle Einstellungen für jede Waffe automatisch;Enregistre automatiquement les paramètres actuels pour chaque arme;武器ごとの設定を自動保存;무기별 현재 설정을 자동 저장;;
Focus;Manual aim (hold);Ручной режим (удержание);手动瞄准（按住）;Apuntado manual (mantener);Manuelles Zielen (halten);Visée manuelle (maintenir);手動エイム（長押し）;수동 조준 (누르기);;
FocusTooltip;Hold to disable auto-aim and control aim manually;Удерживайте, чтобы отключить автонаводку и управлять прицелом вручную;按住以禁用自动瞄准并手动控制;Mantén para desactivar el autoapuntado y controlar manualmente;Gedrückt halten, um Auto-Zielhilfe zu deaktivieren und manuell zu zielen;Maintenez pour désactiver la visée auto et contrôler manuellement;自動照準を無効化して手動操作;자동 조준을 끄고 수동으로 조작;;
LastSeeTargetTimer;Target retention;Удержание цели;目标保持;Retención de objetivo;Zielverfolgung beibehalten;Maintien de la cible;ターゲット保持;목표 유지;;
